table_history_id,customer_id,postdate,changes
1618632,1618630,"2019-05-24 17:21:44","customer_type-^!^!^--^!^!^-GUEST@#@#@#membership_form_of_payment-^!^!^--^!^!^-NONE@#@#@#current_status-^!^!^--^!^!^-OK@#@#@#last_visit_date-^!^!^--^!^!^-2019-05-24 17:21:42@#@#@#punch_card_type-^!^!^--^!^!^-UNKNOWN@#@#@#facility_waiver-^!^!^--^!^!^-1@#@#@#facility_waiver_date-^!^!^--^!^!^-2019-05-24 17:21:42@#@#@#gear_included-^!^!^--^!^!^-NEVER@#@#@#facility_id-^!^!^--^!^!^-1003@#@#@#facility_access_type-^!^!^--^!^!^-ALL@#@#@#alt_freeze_fee-^!^!^--^!^!^--1@#@#@#customer_id-^!^!^--^!^!^-1618630@#@#@#"
1634016,1634015,"2019-05-29 15:14:42","customer_type-^!^!^--^!^!^-GUEST@#@#@#first_contact_date-^!^!^--^!^!^-2019-05-29 15:14:36@#@#@#membership_form_of_payment-^!^!^--^!^!^-NONE@#@#@#current_status-^!^!^--^!^!^-OK@#@#@#last_visit_date-^!^!^--^!^!^-2019-05-29 15:14:36@#@#@#punch_card_type-^!^!^--^!^!^-UNKNOWN@#@#@#facility_waiver-^!^!^--^!^!^-1@#@#@#facility_waiver_date-^!^!^--^!^!^-2019-05-29 15:14:36@#@#@#gear_included-^!^!^--^!^!^-NEVER@#@#@#facility_id-^!^!^--^!^!^-1003@#@#@#facility_access_type-^!^!^--^!^!^-ALL@#@#@#alt_freeze_fee-^!^!^--^!^!^--1@#@#@#customer_id-^!^!^--^!^!^-1634015@#@#@#"
1634046,1634015,"2019-05-29 15:19:06","customer_type-^!^!^-GUEST-^!^!^-MEMBER@#@#@#membership_form_of_payment-^!^!^-NONE-^!^!^-BILLME@#@#@#eft_dues_amount-^!^!^-0-^!^!^-56@#@#@#next_bill_date-^!^!^--^!^!^-2019-06-01 00:00:00@#@#@#is_billable-^!^!^-0-^!^!^-1@#@#@#"
1644062,1634015,"2019-06-01 07:01:07","last_billed_date-^!^!^--^!^!^-2019-06-01 00:00:00@#@#@#next_bill_date-^!^!^-2019-06-01 -^!^!^-2019-07-01 @#@#@#"
1670322,1670321,"2019-06-02 12:48:52","customer_type-^!^!^--^!^!^-GUEST@#@#@#first_contact_date-^!^!^--^!^!^-2019-06-02 12:48:52@#@#@#membership_form_of_payment-^!^!^--^!^!^-NONE@#@#@#current_status-^!^!^--^!^!^-OK@#@#@#last_visit_date-^!^!^--^!^!^-2019-06-02 12:48:52@#@#@#punch_card_type-^!^!^--^!^!^-UNKNOWN@#@#@#gear_included-^!^!^--^!^!^-NEVER@#@#@#facility_id-^!^!^--^!^!^-1003@#@#@#facility_access_type-^!^!^--^!^!^-ALL@#@#@#alt_freeze_fee-^!^!^--^!^!^--1@#@#@#customer_id-^!^!^--^!^!^-1670321@#@#@#"
1670323,1670321,"2019-06-02 12:48:52","customer_type-^!^!^--^!^!^-GUEST@#@#@#first_contact_date-^!^!^--^!^!^-2019-06-02 12:48:52@#@#@#membership_form_of_payment-^!^!^--^!^!^-NONE@#@#@#current_status-^!^!^--^!^!^-OK@#@#@#last_visit_date-^!^!^--^!^!^-2019-06-02 12:48:52@#@#@#punch_card_type-^!^!^--^!^!^-UNKNOWN@#@#@#facility_waiver-^!^!^--^!^!^-1@#@#@#facility_waiver_date-^!^!^--^!^!^-2019-06-02 12:48:52@#@#@#gear_included-^!^!^--^!^!^-NEVER@#@#@#facility_id-^!^!^--^!^!^-1003@#@#@#facility_access_type-^!^!^--^!^!^-ALL@#@#@#do_not_mail-^!^!^--^!^!^-1@#@#@#alt_freeze_fee-^!^!^--^!^!^--1@#@#@#customer_id-^!^!^--^!^!^-1670321@#@#@#"
1670324,1670321,"2019-06-02 12:48:57","customer_type-^!^!^--^!^!^-GUEST@#@#@#first_contact_date-^!^!^--^!^!^-2019-06-02 12:48:52@#@#@#membership_form_of_payment-^!^!^--^!^!^-NONE@#@#@#current_status-^!^!^--^!^!^-OK@#@#@#last_visit_date-^!^!^--^!^!^-2019-06-02 12:48:52@#@#@#punch_card_type-^!^!^--^!^!^-UNKNOWN@#@#@#facility_waiver-^!^!^--^!^!^-1@#@#@#facility_waiver_date-^!^!^--^!^!^-2019-06-02 12:48:52@#@#@#gear_included-^!^!^--^!^!^-NEVER@#@#@#facility_id-^!^!^--^!^!^-1003@#@#@#facility_access_type-^!^!^--^!^!^-ALL@#@#@#do_not_mail-^!^!^--^!^!^-1@#@#@#alt_freeze_fee-^!^!^--^!^!^--1@#@#@#customer_id-^!^!^--^!^!^-1670321@#@#@#"
1670326,1670321,"2019-06-02 12:48:57","customer_type-^!^!^--^!^!^-GUEST@#@#@#first_contact_date-^!^!^--^!^!^-2019-06-02 12:48:52@#@#@#membership_form_of_payment-^!^!^--^!^!^-NONE@#@#@#current_status-^!^!^--^!^!^-OK@#@#@#last_visit_date-^!^!^--^!^!^-2019-06-02 12:48:57@#@#@#punch_card_type-^!^!^--^!^!^-UNKNOWN@#@#@#facility_waiver-^!^!^--^!^!^-1@#@#@#facility_waiver_date-^!^!^--^!^!^-2019-06-02 12:48:52@#@#@#gear_included-^!^!^--^!^!^-NEVER@#@#@#facility_id-^!^!^--^!^!^-1003@#@#@#facility_access_type-^!^!^--^!^!^-ALL@#@#@#do_not_mail-^!^!^--^!^!^-1@#@#@#alt_freeze_fee-^!^!^--^!^!^--1@#@#@#customer_id-^!^!^--^!^!^-1670321@#@#@#"
1685084,1670321,"2019-06-06 20:02:27","customer_type-^!^!^-GUEST-^!^!^-MEMBER@#@#@#membership_form_of_payment-^!^!^-NONE-^!^!^-BILLME@#@#@#eft_dues_amount-^!^!^-0-^!^!^-56@#@#@#next_bill_date-^!^!^--^!^!^-2019-07-01 00:00:00@#@#@#is_billable-^!^!^-0-^!^!^-1@#@#@#"
1778486,1634015,"2019-07-01 06:50:36","last_billed_date-^!^!^-2019-06-01 -^!^!^-2019-07-01 @#@#@#next_bill_date-^!^!^-2019-07-01 -^!^!^-2019-08-01 @#@#@#"
